caller_address	caller_name	callee_address	callee_name	callsite_address	evidence_source	evidence
0x800034A0	fn_800034A0	0x80009948	fn_80009948	0x800034CC	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x4800647D; direct_target=0x80009948
0x800035F0	NuFileOpen	0x800076E4	fn_800076E4	0x80003684	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48004061; direct_target=0x800076E4
0x800035F0	NuFileOpen	0x80004CF8	NuDatFileOpen	0x800036C4	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48001635; direct_target=0x80004CF8
0x800035F0	NuFileOpen	0x8003A214	fn_8003A214	0x8000374C	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48036AC9; direct_target=0x8003A214
0x800035F0	NuFileOpen	0x80009A28	NuRndrTri3d	0x80003770	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x480062B9; direct_target=0x80009A28
0x800035F0	NuFileOpen	0x80009970	fn_80009970	0x80003788	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x480061E9; direct_target=0x80009970
0x800035F0	NuFileOpen	0x80009970	fn_80009970	0x800037C0	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x480061B1; direct_target=0x80009970
0x800035F0	NuFileOpen	0x80044AE0	fn_80044AE0	0x8000382C	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x480412B5; direct_target=0x80044AE0
0x800035F0	NuFileOpen	0x80003AEC	NuFileSeek	0x80003870	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x4800027D; direct_target=0x80003AEC
0x800035F0	NuFileOpen	0x80009970	fn_80009970	0x80003884	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x480060ED; direct_target=0x80009970
0x800035F0	NuFileOpen	0x8000584C	fn_8000584C	0x800038BC	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48001F91; direct_target=0x8000584C
0x800035F0	NuFileOpen	0x80003AEC	NuFileSeek	0x800038D8	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48000215; direct_target=0x80003AEC
0x800035F0	NuFileOpen	0x80009970	fn_80009970	0x800038EC	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48006085; direct_target=0x80009970
0x800035F0	NuFileOpen	0x8000584C	fn_8000584C	0x80003914	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48001F39; direct_target=0x8000584C
0x800039BC	NuFilePos	0x8003A234	fn_8003A234	0x800039E8	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x4803684D; direct_target=0x8003A234
0x800039BC	NuFilePos	0x80009970	fn_80009970	0x80003A00	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48005F71; direct_target=0x80009970
0x800039BC	NuFilePos	0x80005E5C	fn_80005E5C	0x80003A38	PPC opcode 18 with LK=1 (bl/bla)	instruction=0x48002425; direct_target=0x80005E5C
