# caller_name	caller_addr	callee_addr	callee_name
fn_800034A0	0x800034CC	0x8001C6C0	NuAnimCurveSetApplyBlendToJoint2
fn_800034A0	0x80003588	0x8054DE3C	fn_8054DE3C
fn_800034A0	0x800035A4	0x8054DDE8	fn_8054DDE8
fn_800034A0	0x800035C0	0x8054DD94	fn_8054DD94
NuFileOpen	0x80003654	0x800036A4	NuFileOpen
NuFileOpen	0x80003684	0x80013808	fn_800137D0
NuFileOpen	0x800036C4	0x80008F98	fn_80008E78
NuFileOpen	0x800036D4	0x80004224	NuFileRead
NuFileOpen	0x80003710	0x8054D4C4	fn_8054D4C4
NuFileOpen	0x8000374C	0x800DE270	fn_800DD1C8
NuFileOpen	0x80003764	0x80004074	NuFileLoadBuffer
NuFileOpen	0x80003770	0x8001C254	NuAnimCurveSetApplyBlendToJoint2
NuFileOpen	0x80003788	0x8001BF2C	fn_8001BE94
NuFileOpen	0x800037AC	0x80003F9C	NuFileLoadBuffer
NuFileOpen	0x800037C0	0x8001BE84	NuAnimBuffEvaluate
NuFileOpen	0x80003808	0x8054CD3C	fn_8054CD3C
NuFileOpen	0x8000382C	0x80108300	fn_80107DA4
NuFileOpen	0x80003844	0x80003C24	NuFileSeek
NuFileOpen	0x80003870	0x80004264	NuFileRead
NuFileOpen	0x80003884	0x8001BC38	NuAnimData2Relocate
NuFileOpen	0x8000389C	0x800037BC	NuFileOpen
NuFileOpen	0x800038BC	0x8000B700	fn_8000B5F4
NuFileOpen	0x800038D8	0x8000412C	NuFileRead
NuFileOpen	0x800038EC	0x8001BB00	NuAnimData2Relocate
NuFileOpen	0x80003904	0x80003824	NuFileOpen
NuFileOpen	0x80003914	0x8000B5F8	fn_8000B5F4
NuFileOpen	0x80003920	0x80003990	NuFileOpen
NuFileOpen	0x80003978	0x8054D47C	fn_8054D47C
NuFileOpen	0x8000398C	0x800039EC	NuFilePos
NuFilePos	0x800039E8	0x800DDB1C	fn_800DD1C8
NuFilePos	0x80003A00	0x8001B7C4	NuAnimData2Fixup
NuFilePos	0x80003A20	0x80003CF0	NuFileClose
NuFilePos	0x80003A38	0x8000CACC	fn_8000CAA0
NuFilePos	0x80003A3C	0x80003CAC	NuFileClose
NuFilePos	0x80003A60	0x80003C40	NuFileClose
NuFilePos	0x80003A88	0x80003BC8	NuFileSeek
NuFilePos	0x80003A94	0x80003B34	NuFileSeek
NuFilePos	0x80003AA0	0x8001B5E4	NuAnimData2Fixup
NuFilePos	0x80003AC8	0x8001E8DC	NuAnimKeyCopy
NuFileSeek	0x80003B08	0x800DD7BC	fn_800DD1C8
NuFileSeek	0x80003B0C	0x80003F6C	NuFileLoadBuffer
NuFileSeek	0x80003B20	0x8000CC14	fn_8000CBF4
NuFileSeek	0x80003B24	0x80003F24	NuFileLoadBuffer
NuFileSeek	0x80003B60	0x80003C80	NuFileClose
NuFileSeek	0x80003B80	0x80003C10	NuFileSeek
NuFileSeek	0x80003BC0	0x80003D50	NuFileClose
NuFileSeek	0x80003BFC	0x80003C6C	NuFileClose
NuFileSeek	0x80003C08	0x80003C38	NuFileClose
NuFileSeek	0x80003C1C	0x80003C3C	NuFileClose
NuFileSeek	0x80003C20	0x8001E4D4	fn_8001E430
NuFileClose	0x80003C68	0x8000795C	fn_80007900
NuFileClose	0x80003C88	0x80004108	NuFileRead
NuFileClose	0x80003CAC	0x800021C0	fn_800021C0
NuFileClose	0x80003CC4	0x80003568	fn_800034A0
NuFileClose	0x80003CD8	0x8000306C	fn_8000306C
NuFileClose	0x80003CF0	0x800DD1E4	fn_800DD1C8
NuFileClose	0x80003CF4	0x80003FA4	NuFileLoadBuffer
NuFileClose	0x80003D04	0x8000BDC8	fn_8000BD10
NuFileClose	0x80003D08	0x80003F68	NuFileLoadBuffer
NuFileClose	0x80003D10	0x80003E40	NuFileLoadBuffer
NuFileClose	0x80003D24	0x8001AE58	NuAnimCurveSetLoad
NuFileClose	0x80003D44	0x8001AD58	NuAnimCurveSetLoad
NuFileClose	0x80003D60	0x8001B7E4	NuAnimData2Fixup
NuFileClose	0x80003D9C	0x8054BC80	fn_8054BC80
NuFileLoadBuffer	0x80003E08	0x80005EAC	fn_80005E80
NuFileLoadBuffer	0x80003E2C	0x8001D4C0	fn_8001D4B8
NuFileLoadBuffer	0x80003E48	0x80001CEC	fn_80001CEC
NuFileLoadBuffer	0x80003E7C	0x80014F20	fn_80014EC0
NuFileLoadBuffer	0x80003E84	0x80004364	NuFileRead
NuFileLoadBuffer	0x80003E9C	0x800DCD20	fn_800DCB80
NuFileLoadBuffer	0x80003EA4	0x80004024	NuFileLoadBuffer
NuFileLoadBuffer	0x80003EB4	0x8000C3B8	fn_8000C1B8
NuFileLoadBuffer	0x80003EBC	0x80003FDC	NuFileLoadBuffer
NuFileLoadBuffer	0x80003EE8	0x80003F58	NuFileLoadBuffer
NuFileLoadBuffer	0x80003F2C	0x800040CC	NuFileLoadBuffer
