confidence	crash_name	gc_fn	gc_addr	crash_size	crash_addr	gc_size	notes
MEDIUM	NuFileReadInt	fn_800058DC	0x800058dc	0x002c	0x800bde4c	0x002c	norm-body-match; module=nu2_engine
MEDIUM	NuFileReadShort	fn_80005908	0x80005908	0x002c	0x800bde78	0x002c	norm-body-match; module=nu2_engine
MEDIUM	NuTexAnimProgFind	fn_80015C34	0x80015c34	0x0054	0x800ba188	0x0054	norm-body-match; module=nu2_engine
MEDIUM	NuTexAnimSetSignals	fn_80015D40	0x80015d40	0x0020	0x800bb78c	0x0020	norm-body-match; module=nu2_engine
MEDIUM	NuGobjClose	fn_800246AC	0x800246ac	0x0058	0x800af758	0x0058	norm-body-match; module=nu2_engine
MEDIUM	NuScratchAlloc32	fn_80039D30	0x80039d30	0x0034	0x800c31ec	0x0034	norm-body-match; module=nu2_engine
MEDIUM	instNuCGutCharSysCreate	fn_8003E5C4	0x8003e5c4	0x0128	0x8008bb64	0x0128	norm-body-match; module=nu2_engine
MEDIUM	instNuCGutCamSysCreate	fn_8003F6E4	0x8003f6e4	0x00b0	0x8008a004	0x00b0	norm-body-match; module=nu2_engine
MEDIUM	NuGCutTriggerSysFixPtrs	fn_800404B4	0x800404b4	0x00b4	0x8008c120	0x00b4	norm-body-match; module=nu2_engine
MEDIUM	instNuCGutTriggerSysCreate	fn_8004063C	0x8004063c	0x008c	0x8008c2a8	0x008c	norm-body-match; module=nu2_engine
MEDIUM	InsertAlarm	fn_8015CB3C	0x8015cb3c	0x0250	0x800dd734	0x0250	norm-body-match; module=sdk
MEDIUM	OSSetAlarm	fn_8015CD8C	0x8015cd8c	0x0068	0x800dd984	0x0068	norm-body-match; module=sdk
MEDIUM	OSCancelAlarm	fn_8015CE70	0x8015ce70	0x011c	0x800dd9ec	0x011c	norm-body-match; module=sdk
MEDIUM	DecrementerExceptionCallback	fn_8015CF8C	0x8015cf8c	0x0230	0x800ddb08	0x0230	norm-body-match; module=sdk
MEDIUM	OSAllocFromHeap	fn_8015D358	0x8015d358	0x00fc	0x800dde30	0x00fc	norm-body-match; module=sdk
MEDIUM	OSFreeToHeap	fn_8015D454	0x8015d454	0x007c	0x800ddf2c	0x007c	norm-body-match; module=sdk
MEDIUM	OSInitAlloc	fn_8015D4E0	0x8015d4e0	0x0070	0x800ddfb8	0x0070	norm-body-match; module=sdk
MEDIUM	OSCreateHeap	fn_8015D550	0x8015d550	0x006c	0x800de028	0x006c	norm-body-match; module=sdk
MEDIUM	__OSStopAudioSystem	fn_8015D7E8	0x8015d7e8	0x00d8	0x800de5dc	0x00d8	norm-body-match; module=sdk
MEDIUM	OSSwitchFPUContext	fn_8015E4CC	0x8015e4cc	0x0084	0x800df1f0	0x0084	norm-body-match; module=sdk
MEDIUM	OSReport	fn_8015E598	0x8015e598	0x0080	0x800df2bc	0x0080	norm-body-match; module=sdk
MEDIUM	__OSDoHotReset	fn_80161118	0x80161118	0x0048	0x800e02d8	0x0048	norm-body-match; module=sdk
MEDIUM	__OSResetSWInterruptHandler	fn_80161398	0x80161398	0x00f4	0x800e05b8	0x00f4	norm-body-match; module=sdk
