# gc_lbl_addr	gc_lbl_name	ref_func	ref_addr	tag	op
0x80152700	lbl_80152700	fn_8015057C	0x8015075c	addr	ori
0x80152700	lbl_80152700	fn_8015057C	0x8015079c	addr	ori
0x80152700	lbl_80152700	fn_80151510	0x80152618	addr	ori
0x80152718	lbl_80152718	fn_80151510	0x80152648	addr	ori
0x80152718	lbl_80152718	fn_80151510	0x80152648	addr	ori
0x80152718	lbl_80152718	fn_80151510	0x80152648	addr	ori
0x80152720	lbl_80152720	fn_80151510	0x80152658	addr	ori
0x80152728	lbl_80152728	fn_80151510	0x80152668	addr	ori
0x80152730	lbl_80152730	fn_80151510	0x80152678	addr	ori
0x8015bf34	lbl_8015BF34	fn_8015057C	0x801506f4	addr	ori
0x8015bf34	lbl_8015BF34	fn_8015057C	0x80150728	addr	ori
0x8015bf34	lbl_8015BF34	fn_8015057C	0x8015076c	addr	ori
0x8015bf34	lbl_8015BF34	fn_8015057C	0x801507ac	addr	ori
0x80190074	lbl_80190074	NuAnimCurve2CalcVal	0x80016fdc	addr	addi
0x80190074	lbl_80190074	NuAnimCurve2CalcVal	0x800174f0	addr	addi
0x80190074	lbl_80190074	fn_80018AF4	0x80018b10	addr	addi
0x80190074	lbl_80190074	fn_80018B58	0x80018b7c	addr	addi
0x80190074	lbl_80190074	fn_80018C04	0x80018c1c	addr	addi
0x80190074	lbl_80190074	fn_80018C84	0x80018cac	addr	addi
0x80190074	lbl_80190074	fn_80018C84	0x80018cbc	addr	addi
0x80190074	lbl_80190074	fn_80018D00	0x80018d6c	addr	addi
0x80190074	lbl_80190074	fn_80018DA8	0x80018dfc	addr	addi
0x80190074	lbl_80190074	fn_80018EF8	0x80018f10	addr	addi
0x8019017c	lbl_8019017C	fn_80018D00	0x80018d84	addr	addi
0x80190210	lbl_80190210	fn_8004E434	0x8004e608	addr	addi
0x80190210	lbl_80190210	fn_8004E434	0x8004e608	addr	addi
0x80190210	lbl_80190210	fn_8004E434	0x8004e608	addr	addi
0x80190210	lbl_80190210	fn_8004E434	0x8004e608	addr	addi
0x80190210	lbl_80190210	fn_8004E434	0x8004e608	addr	addi
0x80190404	lbl_80190404	fn_8002E53C	0x8002e874	addr	addi
0x8019063c	lbl_8019063C	fn_8001C110	0x8001c198	addr	addi
0x80190684	lbl_80190684	fn_8001C110	0x8001c1ec	addr	addi
0x801907fc	lbl_801907FC	fn_80037FEC	0x80038088	addr	addi
0x80190974	lbl_80190974	fn_8001DCEC	0x8001dd30	addr	addi
0x80190974	lbl_80190974	fn_8001DCEC	0x8001dd7c	addr	addi
0x80190974	lbl_80190974	fn_8001DCEC	0x8001ddd4	addr	addi
0x80190974	lbl_80190974	fn_8001E430	0x8001e540	addr	addi
0x801909a4	lbl_801909A4	fn_8001DCEC	0x8001dd44	addr	addi
0x801909a4	lbl_801909A4	fn_8001DCEC	0x8001dd90	addr	addi
0x801909c4	lbl_801909C4	fn_8001DCEC	0x8001dde8	addr	addi
0x80190a08	lbl_80190A08	fn_8001E430	0x8001e550	addr	addi
0x80190a24	lbl_80190A24	fn_8001E430	0x8001e674	addr	addi
0x80190a3c	lbl_80190A3C	fn_8001EE20	0x8001eee8	addr	addi
0x80190a3c	lbl_80190A3C	fn_8001EE20	0x8001eee8	addr	addi
0x80190a3c	lbl_80190A3C	fn_8001EE20	0x8001eee8	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000A9F0	0x8000abb4	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000A9F0	0x8000abb4	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000ac48	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000ac7c	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000acc4	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000acf8	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000ad40	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000ad74	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000adbc	addr	addi
0x80190ac8	lbl_80190AC8	fn_8000ABDC	0x8000adf0	addr	addi
0x80190ad4	lbl_80190AD4	fn_8001FD98	0x80020068	addr	addi
0x80190ad4	lbl_80190AD4	fn_8001FD98	0x80020194	addr	addi
0x80190b00	lbl_80190B00	fn_8001FD98	0x8002007c	addr	addi
0x80190b00	lbl_80190B00	fn_8001FD98	0x800201a8	addr	addi
0x80190b7c	lbl_80190B7C	fn_80020788	0x8002097c	addr	addi
0x80190b7c	lbl_80190B7C	fn_80021010	0x800211f0	addr	addi
0x80190bf8	lbl_80190BF8	fn_80020BC8	0x80020de4	addr	addi
0x80190bf8	lbl_80190BF8	fn_80020BC8	0x80020de4	addr	addi
0x80190c30	lbl_80190C30	fn_80021010	0x80021250	addr	addi
0x80190c30	lbl_80190C30	fn_80021010	0x80021250	addr	addi
0x80190c30	lbl_80190C30	fn_80021010	0x80021250	addr	addi
0x80190c38	lbl_80190C38	fn_80021010	0x80021300	addr	addi
0x80190c4c	lbl_80190C4C	fn_80021010	0x80021304	addr	addi
0x80190c50	lbl_80190C50	fn_80021010	0x8002131c	addr	addi
0x80190c54	lbl_80190C54	fn_80021010	0x80021320	addr	addi
0x80190c58	lbl_80190C58	fn_80021010	0x80021340	addr	addi
0x80190c5c	lbl_80190C5C	fn_80021010	0x8002125c	addr	addi
0x80190c5c	lbl_80190C5C	fn_80021010	0x8002125c	addr	addi
0x80190de4	lbl_80190DE4	fn_80023CD0	0x80023ce8	addr	addi
