match_type	lsw1_fn	lsw1_addr	lsw1_size	lsw2_addr	notes
exact	fn_80003254	0x80003254	0x006c	0x80003254	body occurs in GL7E64 main.dol
exact	fn_80006DD4	0x80006dd4	0x0030	0x80115c10	body occurs in GL7E64 main.dol
exact	fn_80006E04	0x80006e04	0x0018	0x80115c40	body occurs in GL7E64 main.dol
exact	fn_8000759C	0x8000759c	0x0050	0x8011655c	body occurs in GL7E64 main.dol
exact	fn_80007610	0x80007610	0x0038	0x801165d0	body occurs in GL7E64 main.dol
exact	fn_80007648	0x80007648	0x0038	0x80116608	body occurs in GL7E64 main.dol
exact	fn_80007680	0x80007680	0x0044	0x80116640	body occurs in GL7E64 main.dol
exact	fn_800076CC	0x800076cc	0x0018	0x8011668c	body occurs in GL7E64 main.dol
exact	fn_80008A60	0x80008a60	0x00d8	0x80118810	body occurs in GL7E64 main.dol
exact	fn_80008CD8	0x80008cd8	0x017c	0x80118a70	body occurs in GL7E64 main.dol
exact	fn_8000A714	0x8000a714	0x0010	0x8011a8e0	body occurs in GL7E64 main.dol
exact	fn_8000A768	0x8000a768	0x0010	0x8011a9c8	body occurs in GL7E64 main.dol
exact	fn_8000A778	0x8000a778	0x0010	0x8011a9c8	body occurs in GL7E64 main.dol
exact	fn_8000BE70	0x8000be70	0x009c	0x8011c2ac	body occurs in GL7E64 main.dol
exact	fn_8000E918	0x8000e918	0x00a4	0x8011af84	body occurs in GL7E64 main.dol
exact	fn_8000EE70	0x8000ee70	0x006c	0x8011f694	body occurs in GL7E64 main.dol
exact	fn_800130F4	0x800130f4	0x0030	0x80124f68	body occurs in GL7E64 main.dol
exact	fn_80013268	0x80013268	0x0060	0x80124c68	body occurs in GL7E64 main.dol
exact	fn_800132C8	0x800132c8	0x0048	0x80124cc8	body occurs in GL7E64 main.dol
exact	fn_80013310	0x80013310	0x0040	0x80124d10	body occurs in GL7E64 main.dol
exact	fn_80013350	0x80013350	0x0030	0x80125068	body occurs in GL7E64 main.dol
exact	fn_800133E4	0x800133e4	0x0018	0x801251c0	body occurs in GL7E64 main.dol
exact	fn_800133FC	0x800133fc	0x0058	0x801251d8	body occurs in GL7E64 main.dol
exact	fn_80013550	0x80013550	0x0030	0x80124e50	body occurs in GL7E64 main.dol
