confidence	score	module	gc_old	gc_addr	gc_size	new_name	mac_source	mac_arch	mac_addr	mac_size	left_anchor	right_anchor	gap
MEDIUM	7	nu3dx/anim	fn_80017EA0	0x80017EA0	0x6B8	NuAnimCurve2SetApplyToJoint	mac_lsw2_ppc	ppc	0x176360	0x3C	NuAnimCurve2CalcValEx	NuAnimDataRead	1:1
MEDIUM	12	nu3dx/render	fn_8003F904	0x8003F904	0x3C	NuGCutLocatorCalcMtx	crashwoc_retail	ppc	0x8008A714	0x220	NuGCutLocatorSysFixPtrs	instNuGCutLocatorSysUpdate	2:2
MEDIUM	13	nu3dx/render	fn_8003F940	0x8003F940	0x3C	NuGCutLocatorIsVisble	crashwoc_retail	ppc	0x8008A934	0xAC	NuGCutLocatorSysFixPtrs	instNuGCutLocatorSysUpdate	2:2
MEDIUM	11	nu3dx/render	fn_8003FA64	0x8003FA64	0xCC	instNuGCutLocatorSysStart	crashwoc_retail	ppc	0x8008ABE8	0x3C	instNuGCutLocatorSysUpdate	NuGCutRigidSysFixPtrs	1:1
MEDIUM	12	nu3dx/render	fn_8004036C	0x8004036C	0x90	NuSetCutSceneCharacterRenderFn	crashwoc_retail	ppc	0x8008C110	0x8	NuGCutCharAnimProcess	NuGCutTriggerSysFixPtrs	2:2
MEDIUM	12	nu3dx/render	fn_800403FC	0x800403FC	0xB8	NuSetCutSceneFindCharactersFn	crashwoc_retail	ppc	0x8008C118	0x8	NuGCutCharAnimProcess	NuGCutTriggerSysFixPtrs	2:2
LOW	6	gamecode	fn_8012BF24	0x8012BF24	0x2A4	AIPathCnxControllerSetOnRange	mac_lsw1_demo	ppc	0xE81D0	0x250	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	7	gamecode	fn_8012C884	0x8012C884	0x110	NuVec4MtxTransformVU0	mac_lsw1_demo	ppc	0xE8E40	0xF0	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	6	gamecode	fn_8012C994	0x8012C994	0xF0	NuVec4MtxRotateVU0	mac_lsw1_demo	ppc	0xE8F30	0xA0	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	6	gamecode	fn_8012CA84	0x8012CA84	0x80	NuFpDiv	mac_lsw1_demo	ppc	0xE8FD0	0x40	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	6	gamecode	fn_8012CD50	0x8012CD50	0xB8	NuFntMoveAbs	mac_lsw1_demo	ppc	0xE9DA0	0x80	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	6	gamecode	fn_8012D1CC	0x8012D1CC	0x1C	MenuEnterSaveConfirm	mac_lsw1_demo	ppc	0xEBF50	0x50	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	7	gamecode	fn_8012D1E8	0x8012D1E8	0x1C	MenuEnterAutoSaveWarning	mac_lsw1_demo	ppc	0xEBFA0	0x30	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	6	gamecode	fn_8012D204	0x8012D204	0x1C	MenuEnterAutoSaveCancel	mac_lsw1_demo	ppc	0xEBFD0	0x40	AIPathCnxControllerCreate	Condition_EitherPlayerUsingForce	23:125
LOW	8	gamecode	fn_80163984	0x80163984	0xF4	AIRegisterDMACallback	crashwoc_retail	ppc	0x800EA56C	0x44	__OSUnlockAllMutex	EXIImmEx	2:4
LOW	8	gamecode	fn_80163A78	0x80163A78	0x25C	AIRegisterStreamCallback	crashwoc_retail	ppc	0x800EA650	0x44	__OSUnlockAllMutex	EXIImmEx	2:4
LOW	9	nu3dx/anim	fn_80018E64	0x80018E64	0x34	NuAnimDataFixPtrs	gcnemo	ppc	0x800A8D04	0x1F8	NuAnimDataLoadBuff	NuAnimData2LoadBuff	2:1
LOW	9	nu3dx/anim	fn_800234A8	0x800234A8	0x180	NuAnimCurve2SetApplyToJoint	gcnemo	ppc	0x800AB50C	0x544	NuAnimCurve2SetApplyBlendToJoint2	NuCameraClipTestPoints	2:31
LOW	10	nu3dx/anim	fn_80023628	0x80023628	0x3BC	NuAnimCurveSetApplyToJointBasic	gcnemo	ppc	0x800ABA50	0x354	NuAnimCurve2SetApplyBlendToJoint2	NuCameraClipTestPoints	2:31
LOW	12	nu3dx/anim	fn_80023D5C	0x80023D5C	0x24	NuCameraDestroy	gcnemo	ppc	0x800AC2BC	0x28	NuCameraCreate	NuCameraGetMtx	1:17
LOW	13	nu3dx/anim	fn_80023D98	0x80023D98	0xC	NuCameraGetProjectionMtx	gcnemo	ppc	0x800AD30C	0xC	NuCameraGetViewMtx	NuCameraGetClipMtx	2:22
LOW	13	nu3dx/anim	fn_80023DA4	0x80023DA4	0xC	NuCameraGetClippingMtx	gcnemo	ppc	0x800AD318	0xC	NuCameraGetViewMtx	NuCameraGetClipMtx	2:22
LOW	12	nu3dx/anim	fn_80023F80	0x80023F80	0xEC	NuCameraTransformScreen	gcnemo	ppc	0x800AD5E8	0xE4	NuCameraTransformClip	NuGobjClose	12:53
LOW	9	nu3dx/render	fn_8002406C	0x8002406C	0x2C	NuCameraClipTestBoundingSphere	crashwoc_retail	ppc	0x800AD34C	0xD0	NuCameraTransformClip	NuGobjClose	12:13
LOW	10	nu3dx/render	fn_80024098	0x80024098	0x54	NuCameraDistSqr	crashwoc_retail	ppc	0x800AD588	0x2C	NuCameraTransformClip	NuGobjClose	12:13
LOW	10	nu3dx/render	fn_800240EC	0x800240EC	0x38	NuCameraEnableClipping	crashwoc_retail	ppc	0x800AD7FC	0x8	NuCameraTransformClip	NuGobjClose	12:13
LOW	9	nu3dx/render	fn_80024124	0x80024124	0x38	NuCameraTransformScreenClip	crashwoc_retail	ppc	0x800AD804	0xE4	NuCameraTransformClip	NuGobjClose	12:13
LOW	9	nu3dx/render	fn_8002415C	0x8002415C	0xE0	NuPs2CreateSkinNorm	crashwoc_retail	ppc	0x800AEAA8	0x288	NuCameraTransformClip	NuGobjClose	12:13
LOW	9	nu3dx/render	fn_8002423C	0x8002423C	0x15C	NuPs2CreateSkin	crashwoc_retail	ppc	0x800AED30	0x3C	NuCameraTransformClip	NuGobjClose	12:13
LOW	9	nu3dx/render	fn_80024398	0x80024398	0x110	NuGlassProcessScene	crashwoc_retail	ppc	0x800AEFFC	0x2BC	NuCameraTransformClip	NuGobjClose	12:13
LOW	11	nu3dx/render	fn_800244A8	0x800244A8	0x78	NuGlassLoad	crashwoc_retail	ppc	0x800AF2B8	0x64	NuCameraTransformClip	NuGobjClose	12:13
LOW	11	nu3dx/render	fn_80024520	0x80024520	0xC	NuGlassInit	crashwoc_retail	ppc	0x800AF31C	0x2C	NuCameraTransformClip	NuGobjClose	12:13
LOW	9	nu3dx/render	fn_8002452C	0x8002452C	0x144	NuGlassClose	crashwoc_retail	ppc	0x800AF348	0xA0	NuCameraTransformClip	NuGobjClose	12:13
LOW	9	nu3dx/render	fn_80024670	0x80024670	0x3C	NuGlassRenderStatic	crashwoc_retail	ppc	0x800AF620	0xE0	NuCameraTransformClip	NuGobjClose	12:13
LOW	10	nu3dx/render	fn_80024704	0x80024704	0xF8	NuGobjCreate	gcnemo	ppc	0x800AF620	0x7C	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	10	nu3dx/render	fn_800247FC	0x800247FC	0x58	NuGobjDestroy	gcnemo	ppc	0x800AF69C	0xA0	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	10	nu3dx/render	fn_80024854	0x80024854	0x78	NuGobjOptimise	gcnemo	ppc	0x800AF73C	0x44	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	9	nu3dx/render	fn_800248CC	0x800248CC	0x168	NuGobjConvertToSharedVB	gcnemo	ppc	0x800AF780	0x4	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	9	nu3dx/render	fn_80024A34	0x80024A34	0x184	NuGobjEnableSharedVB	gcnemo	ppc	0x800AF784	0x8	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	11	nu3dx/render	fn_80024BB8	0x80024BB8	0x20	NuGobjAddGeom	gcnemo	ppc	0x800AF78C	0x38	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	11	nu3dx/render	fn_80024BD8	0x80024BD8	0x18	NuGobjAddFaceOnGeom	gcnemo	ppc	0x800AF7C4	0x38	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	9	nu3dx/render	fn_80024BF0	0x80024BF0	0x28	NuGobjCalcFaceOnDims	gcnemo	ppc	0x800AF7FC	0x2D0	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	9	nu3dx/render	fn_80024C18	0x80024C18	0x28	NuGobjCalcDims	gcnemo	ppc	0x800AFACC	0x2AC	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	11	nu3dx/render	fn_80024C40	0x80024C40	0x24	NuGobjCalcPlanes	gcnemo	ppc	0x800AFD78	0x44	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	10	nu3dx/render	fn_80024C64	0x80024C64	0x70	NuGeomCreate	gcnemo	ppc	0x800AFDBC	0x44	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	11	nu3dx/render	fn_80024CD4	0x80024CD4	0x38	NuFaceOnGeomCreate	gcnemo	ppc	0x800AFE00	0x44	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	10	nu3dx/render	fn_80024D0C	0x80024D0C	0x28	NuGeomDestroy	gcnemo	ppc	0x800AFE44	0x74	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	11	nu3dx/render	fn_80024D34	0x80024D34	0x10	NuFaceOnGeomDestroy	gcnemo	ppc	0x800AFEB8	0x4	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	11	nu3dx/render	fn_80024D44	0x80024D44	0x10	NuGeomOptimise	gcnemo	ppc	0x800AFEBC	0x4	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	10	nu3dx/render	fn_80024D54	0x80024D54	0x4	NuGeomCalcPlanes	gcnemo	ppc	0x800AFEC0	0x4C	NuGobjClose	NuMtlSetCurrentRenderPlane	16:176
LOW	8	nu3dx/render	fn_80024DB8	0x80024DB8	0x8	NuMtlGetSysBuffSize	mac_lsw2_ppc	ppc	0x1676F0	0x8	NuMtlSetCurrentRenderPlane	NuFileWrite	5:1082
LOW	8	nu3dx/render	fn_80024F10	0x80024F10	0x8	NuMtlReadEventDefault	mac_lsw2_ppc	ppc	0x16780C	0x8	NuMtlSetCurrentRenderPlane	NuFileWrite	5:1082
LOW	8	nu3dx/render	fn_8003CEE0	0x8003CEE0	0x350	NuGCutLocatorCalcMtx	crashwoc_retail	ppc	0x8008A714	0x220	instNuGCutCamSysUpdate	NuCGutLocatorSysCreateInst	1:2
LOW	9	nu3dx/render	fn_8003DC14	0x8003DC14	0x16C	instNuGCutRigidSysReset	gcnemo	ppc	0x800F38BC	0x108	instNuCGutRigidSysCreate	instNuCGutCharSysCreate	4:3
LOW	8	nu3dx/render	fn_8003DD80	0x8003DD80	0x334	instNuGCutRigidSysEnd	gcnemo	ppc	0x800F3C50	0x19C	instNuCGutRigidSysCreate	instNuCGutCharSysCreate	4:3
LOW	8	nu3dx/render	fn_8003E0B4	0x8003E0B4	0x274	NuGCutCharSysDestroy	gcnemo	ppc	0x800F40C8	0x30	instNuCGutRigidSysCreate	instNuCGutCharSysCreate	4:3
LOW	8	nu3dx/render	fn_8003F27C	0x8003F27C	0x34	NuGCutSceneFixUpExtra	mac_lsw1_demo	ppc	0xEEC80	0x40	NuGCutSceneFixUp	NuGCutCamsSysFixPtrs	7:19
LOW	9	nu3dx/render	fn_8003F2B0	0x8003F2B0	0x10	instNuGCutSceneDestroy	crashwoc_retail	ppc	0x80089A28	0x6C	NuGCutSceneFixUp	NuGCutCamsSysFixPtrs	7:8
LOW	8	nu3dx/render	fn_8003F2C0	0x8003F2C0	0x10	instNuGCutSceneStart	crashwoc_retail	ppc	0x80089A94	0xA0	NuGCutSceneFixUp	NuGCutCamsSysFixPtrs	7:8
