# LSW1 Demo Data/BSS Symbols
# name	address	section
_LEGALTIME	001f6774	data
_LEGO	033e2828	bss
_LEGOOPTIONS	0342652c	bss
_LEVFADEINNER	001efd00	data
_LEVFADEINNER_RETAKEF	001efd08	data
_LEVFADEOUTER	001efd04	data
_LEVFADEOUTER_RETAKEF	001efd0c	data
_LOADAREAFADETIME	001efcdc	data
_LamaSuAnim	001df9c8	data
_LevFadeHSpecial	033e9170	bss
_LevInstAnim	033e92f0	bss
_LevelConfigList	001f5f50	data
_LoadTime	033e9154	bss
_LoadWait	033e9150	bss
_LuminaraAnim	001e20c8	data
_ACTIVECUTCOUNT	03426290	bss
_ADATA	033e0698	bss
_AData	001ef3b0	data
_AIActionParseSpeedFn	033f15a8	bss
_AIMOFFSETDIST	001f07cc	data
_AIMSPEED	001f07d0	data
_AIRespawnOnPathFn	033f15a4	bss
_ALLOWJUMPTIME	001e8fdc	data
_APIObjPlaySfxByIdFn	033dc9dc	bss
_AUTOSAVEICONSIZE	001efe80	data
_AUTOTURNHACK	033bc984	bss
_Actions_AnakinA	001f0738	data
_AddCoinDelay	033f3320	bss
_AlwaysTimer	033b5078	bss
_AmbientList	001f0c08	data
_AmidalaAnim	001dca48	data
_AnakinBoyAnim	001db288	data
_AnakinC	033f4730	bss
_AnakinJediAnim	001d7e88	data
_AnakinPadawanAnim	001d7388	data
_AnakinVaderAnim	001d8908	data
_AnakinsPodAnim	001ddd08	data
_AnakinsPodGreenAnim	001dde08	data
_AnimBlendMode	001e9520	data
_AnimParams	035e2a20	bss
_AnotherMiscPod2Anim	001dfdc8	data
_AnotherMiscPodAnim	001dfd48	data
_Area	001efca0	data
_AreaCutPlayed	033e95a8	bss
_AreaDataLoaded	001efcd8	data
_AreaDeaths	033e0684	bss
_AreaFlag	033e9598	bss
_AreaScriptFlags	033e9590	bss
_AreaTimer	033e94c8	bss
_Area_BattleOverCoruscantLevelList	001ef234	data
_Area_BattleOverCoruscantModelList_Story	001ef23c	data
_Area_BonusLevelList	001ef378	data
_Area_BonusModelList_FreePlay	001ef394	data
_Area_BonusModelList_Story	001ef384	data
_Area_Bonus_CollectList	001ef3a0	data
_Area_ChancellorInPerilLevelList	001ef250	data
_Area_ChancellorInPerilModelList_FreePlay	001ef28c	data
_Area_ChancellorInPerilModelList_Story	001ef268	data
_Area_ChancellorInPeril_CollectList	001ef2a0	data
_Area_CountDookuLevelList	001ef1ec	data
_Area_CountDookuModelList_FreePlay	001ef218	data
_Area_CountDookuModelList_Story	001ef1f8	data
_Area_CountDooku_CollectList	001ef220	data
_Area_DarthMaulLevelList	001ef0a0	data
_Area_DarthMaulModelList_FreePlay	001ef0c4	data
_Area_DarthMaulModelList_Story	001ef0b0	data
_Area_DarthMaul_CollectList	001ef0d0	data
_Area_DarthVaderLevelList	001ef330	data
_Area_DarthVaderModelList_FreePlay	001ef350	data
_Area_DarthVaderModelList_Story	001ef340	data
_Area_DarthVader_CollectList	001ef354	data
_Area_DefenceOfKashyyykLevelList	001ef2c4	data
_Area_DefenceOfKashyyykModelList_FreePlay	001ef2e8	data
_Area_DefenceOfKashyyykModelList_Story	001ef2d0	data
_Area_DefenceOfKashyyyk_CollectList	001ef2f8	data
_Area_DiscoveryOnKaminoLevelList	001ef0f0	data
_Area_DiscoveryOnKaminoModelList_FreePlay	001ef120	data
_Area_DiscoveryOnKaminoModelList_Story	001ef108	data
_Area_DiscoveryOnKamino_CollectList	001ef130	data
_Area_DroidFactoryLevelList	001ef134	data
_Area_DroidFactoryModelList_FreePlay	001ef168	data
_Area_DroidFactoryModelList_Story	001ef14c	data
_Area_DroidFactory_CollectList	001ef174	data
_Area_Episode1EndingLevelList	001ef0d4	data
_Area_Episode1EndingModelList	001ef0d8	data
_Area_Episode2EndingLevelList	001ef224	data
_Area_Episode2EndingModelList	001ef22c	data
_Area_Episode3EndingLevelList	001ef358	data
_Area_Episode3EndingModelList	001ef360	data
_Area_EscapeFromNabooLevelList	001eefb0	data
_Area_EscapeFromNabooModelList_FreePlay	001eefe8	data
_Area_EscapeFromNabooModelList_Story	001eefc4	data
_Area_EscapeFromNaboo_CollectList	001eeff4	data
_Area_GeneralGrievousLevelList	001ef2a8	data
_Area_GeneralGrievousModelList_FreePlay	001ef2bc	data
_Area_GeneralGrievousModelList_Story	001ef2b0	data
_Area_GeneralGrievous_CollectList	001ef2c0	data
_Area_GunshipCavalryLevelList	001ef1d0	data
_Area_GunshipCavalryModelList_Story	001ef1d8	data
_Area_InvasionOfNabooLevelList	001eef70	data
_Area_InvasionOfNabooModelList_FreePlay	001eef9c	data
_Area_InvasionOfNabooModelList_Story	001eef80	data
_Area_InvasionOfNaboo_CollectList	001eefac	data
_Area_JediBattleLevelList	001ef17c	data
_Area_JediBattleModelList_FreePlay	001ef1b0	data
_Area_JediBattleModelList_Story	001ef188	data
_Area_JediBattle_CollectList	001ef1c8	data
_Area_MapLevelList	001ef3a4	data
_Area_MapModelList	001ef3a8	data
_Area_MosEspaPodRaceLevelList	001eeffc	data
_Area_MosEspaPodRaceModelList_Story	001ef018	data
_Area_NegotiationsLevelList	001eef30	data
_Area_NegotiationsModelList_FreePlay	001eef5c	data
_Area_NegotiationsModelList_Story	001eef40	data
_Area_Negotiations_CollectList	001eef68	data
_Area_RetakeTheedPalaceLevelList	001ef048	data
_Area_RetakeTheedPalaceModelList_FreePlay	001ef088	data
_Area_RetakeTheedPalaceModelList_Story	001ef060	data
_Area_RetakeTheedPalace_CollectList	001ef094	data
_Area_RuinOfTheJediLevelList	001ef2fc	data
_Area_RuinOfTheJediModelList_FreePlay	001ef320	data
_Area_RuinOfTheJediModelList_Story	001ef30c	data
_Area_RuinOfTheJedi_CollectList	001ef32c	data
_BGLOAD	001cd638	data
_BIGICONSIZE	001f5d98	data
_BIGICONX	001f5d90	data
_BIGICONY	001f5d94	data
_BIGNAMESIZE	001f5da0	data
_BIGNAMEY	001f5d9c	data
_BLASTERBOLTRADIUS	001cf574	data
_BLASTERBOLTSPEED	001cf568	data
_BLASTERBOLTTIME	001cf56c	data
_BLOWUPMINIKITSIZE	001f0390	data
_BLUECOINPPS	001f04f0	data
_BODYGUARDHEADINDEX	001f0994	data
_BOLTBADGUYA	001cf59d	data
_BOLTBADGUYB	033b278e	bss
_BOLTBADGUYDOUBLEA	001cf59f	data
_BOLTBADGUYDOUBLEB	033b278c	bss
_BOLTBADGUYDOUBLEG	033b278d	bss
_BOLTBADGUYDOUBLER	001cf59e	data
_BOLTBADGUYG	033b278f	bss
_BOLTBADGUYR	001cf59c	data
_BOLTGOODGUYA	001cf59b	data
_BOLTGOODGUYB	033b2790	bss
_BOLTGOODGUYG	001cf59a	data
_BOLTGOODGUYR	033b2791	bss
_BOLTRAYCASTTIME	001cf5a0	data
_BOLTSPACESHIPA	001cf599	data
_BOLTSPACESHIPB	033b2792	bss
_BOLTSPACESHIPG	033b2793	bss
_BOLTSPACESHIPR	001cf598	data
_BOSSHEARTSIZE	001eff20	data
_BOSSHEARTY	001eff1c	data
_BOSSICONSIZE	001eff28	data
_BOSSICONY	001eff24	data
_BSDemo	00e48200	bss
_BUILDUPCOINCOUNT	001eff08	data
_BUILDUPCOINDX	001eff0c	data
_BUILDUPCOINSCALE	001eff10	data
_BUILDUPSCALE	001eff14	data
_BUILDUPY	001efed0	data
_BackupGame	033b4a38	bss
_BaseCurrentSpeed	033b4a20	bss
_BattleDroidAnim	001d1648	data
_BattleDroidCommanderAnim	001d1988	data
_BattleDroidGeonosianAnim	001d2008	data
_BattleDroidSecurityAnim	001d1cc8	data
_BeenAttacked	03425e00	bss
_BigIconAlpha	0346e000	bss
_Bink	034929a8	bss
_Bink_DSound	03492998	bss
_Bink_buffer	034929a4	bss
_Bink_image	0349299c	bss
_Bink_surface_type	03492970	bss
_Bink_window	034929a0	bss
_BitCountTable	034374c8	bss
_BlendsVB	00e3dd68	bss
_BobAnim	001e49c8	data
_BobaFettBoyAnim	001db548	data
_BodyGuardAnim	001e5448	data
_Bolt	033b2798	bss
_BoltObjA$7525	001f0798	data
_BoltObjB$7526	001f07a8	data
_BonusACutList	001e9b64	data
_BonusIntroCutList	001e9b60	data
_BoulderRadius	001e9ae0	data
_BoulderWait	033e292c	bss
_BrushData	001e9630	data
_BrushFrame	033e8e5c	bss
_BuildUpDone	033eee30	bss
_BuildUpScale	033eee34	bss
_BuildUpTotal	033eee38	bss
_BurnoutFlare	0342fc7c	bss
_BurnoutFlareTarget	0342fc88	bss
_BurnoutIntensity	0342fc80	bss
_BurnoutIntensityTarget	0342fc8c	bss
_BurnoutSnap	0342fc78	bss
_BurnoutThreshold	0342fc84	bss
_BurnoutThresholdTarget	0342fc90	bss
_C3POAnim	001dd1c8	data
_CAMSHAKEOFFSETSEEK	001efd50	data
_CAMSHAKETARGETSEEK	001efd4c	data
_CAMSHAKETARGETTOL	001efd48	data
_CHARACTERBUFFERSIZE	001ceb1c	data
_CInfo	001e8f98	data
_COINMSGTIME	001f0398	data
_COINTOTAL_COINDX	001efef8	data
