source_binary	architecture	address	symbol_type	section	type_abbrev	raw_name	clean_name	demangled	subsystem
lsw1_demo	ppc	0x1000	A	absolute	other	__mh_execute_header	_mh_execute_header		Other
lsw1_demo	ppc	0x22c0	t	text	func	start	start		Other
lsw1_demo	ppc	0x22f4	t	text	func	__start	_start		Other
lsw1_demo	ppc	0x2474	t	text	func	__call_mod_init_funcs	_call_mod_init_funcs		Other
lsw1_demo	ppc	0x24bc	t	text	func	__dyld_init_check	_dyld_init_check		Other
lsw1_demo	ppc	0x24f8	t	text	func	dyld_stub_binding_helper	dyld_stub_binding_helper		Other
lsw1_demo	ppc	0x2510	t	text	func	__dyld_func_lookup	_dyld_func_lookup		Other
lsw1_demo	ppc	0x2520	t	text	func	__Z6NuFabsf	_Z6NuFabsf		Other
lsw1_demo	ppc	0x2530	t	text	func	__Z14ShowSplashFadev	_Z14ShowSplashFadev		Other
lsw1_demo	ppc	0x25e0	t	text	func	__Z11MacGameMainv	_Z11MacGameMainv		Other
lsw1_demo	ppc	0x28b0	t	text	func	__Z12OneShotTimerP16__EventLoopTimerPv	_Z12OneShotTimerP16__EventLoopTimerPv		Other
lsw1_demo	ppc	0x2900	t	text	func	__Z7MacMainiPPc	_Z7MacMainiPPc		Other
lsw1_demo	ppc	0x2960	t	text	func	__Z10Initializev	_Z10Initializev		Other
lsw1_demo	ppc	0x2b20	t	text	func	_main	main		Other
lsw1_demo	ppc	0x2be0	t	text	func	__ZN14MacPreferences9GetStringEPKcPciS0_	_ZN14MacPreferences9GetStringEPKcPciS0_		Other
lsw1_demo	ppc	0x2cd0	t	text	func	__ZN14MacPreferences9PutStringEPKcS0_	_ZN14MacPreferences9PutStringEPKcS0_		Other
lsw1_demo	ppc	0x2d60	t	text	func	__ZN14MacPreferences10GetIntegerEPKci	_ZN14MacPreferences10GetIntegerEPKci		Other
lsw1_demo	ppc	0x2dc0	t	text	func	__ZN14MacPreferences10PutIntegerEPKci	_ZN14MacPreferences10PutIntegerEPKci		Other
lsw1_demo	ppc	0x2e10	t	text	func	__ZN14MacPreferences8GetFloatEPKcf	_ZN14MacPreferences8GetFloatEPKcf		Other
lsw1_demo	ppc	0x2e70	t	text	func	__ZN14MacPreferences8PutFloatEPKcf	_ZN14MacPreferences8PutFloatEPKcf		Other
lsw1_demo	ppc	0x2ed0	t	text	func	__ZN14MacPreferences10GetBooleanEPKci	_ZN14MacPreferences10GetBooleanEPKci		Other
lsw1_demo	ppc	0x2f10	t	text	func	__ZN14MacPreferences10PutBooleanEPKci	_ZN14MacPreferences10PutBooleanEPKci		Other
lsw1_demo	ppc	0x2f40	t	text	func	__ZN14MacPreferences7GetRectEPKcR6CGRect	_ZN14MacPreferences7GetRectEPKcR6CGRect		Other
lsw1_demo	ppc	0x3050	t	text	func	__ZN14MacPreferences7PutRectEPKcRK6CGRect	_ZN14MacPreferences7PutRectEPKcRK6CGRect		Other
lsw1_demo	ppc	0x3140	t	text	func	__ZN14MacPreferences11SynchronizeEv	_ZN14MacPreferences11SynchronizeEv		Other
