source_binary	architecture	address	symbol_type	section	type_abbrev	raw_name	clean_name	demangled	subsystem
lsw2	ppc		-	debug	debug	00 0000  LSYM char:t(0,5)=r(0,5);0;127;	00 0000  LSYM char:t(0,5)=r(0,5);0;127;		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM char:t2=r2;0;127;	00 0000  LSYM char:t2=r2;0;127;		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM int:t(0,2)	00 0000  LSYM int:t(0,2)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM int:t(0,2)=r(0,2);-2147483648;2147483647;	00 0000  LSYM int:t(0,2)=r(0,2);-2147483648;2147483647;		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM int:t1=r1;-2147483648;2147483647;	00 0000  LSYM int:t1=r1;-2147483648;2147483647;		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,1)=(0,1)	00 0000  LSYM :t(0,1)=(0,1)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,11)=*(0,16)	00 0000  LSYM :t(0,11)=*(0,16)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,12)=*(0,17)	00 0000  LSYM :t(0,12)=*(0,17)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,13)=*(0,18)	00 0000  LSYM :t(0,13)=*(0,18)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,14)=*(0,19)	00 0000  LSYM :t(0,14)=*(0,19)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,15)=*(0,20)	00 0000  LSYM :t(0,15)=*(0,20)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,16)=f(0,10)	00 0000  LSYM :t(0,16)=f(0,10)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,17)=f(0,8)	00 0000  LSYM :t(0,17)=f(0,8)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,18)=f(0,21)	00 0000  LSYM :t(0,18)=f(0,21)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,19)=f(0,21)	00 0000  LSYM :t(0,19)=f(0,21)		Other
lsw2	ppc		-	debug	debug	00 0000  LSYM :t(0,20)=f(0,22)	00 0000  LSYM :t(0,20)=f(0,22)		Other
