# Mac String Xrefs
# Total: 1054
# ref_addr | binary | str_addr | pattern | func_name | content

0x000023ac | LSW1 Demo    | 0x0019d1f4 | pic_addis+addi  | __start                                  | "__dyld_mod_term_funcs"
0x0000248c | LSW1 Demo    | 0x0019d20c | pic_addis+addi  | __call_mod_init_funcs                    | "__dyld_make_delayed_module_initializer_calls"
0x0000701c | LSW1 Demo    | 0x0019d6e0 | pic_addis+addi  | __ZN10MacFolders15GetDataFolderIDEv      | "data-folder-name"
0x000097a8 | LSW1 Demo    | 0x0019d71c | pic_addis+addi  | __ZN12MacResources16GetProductFamilyEv   | "product-family"
0x00009808 | LSW1 Demo    | 0x0019d72c | pic_addis+addi  | __ZN12MacResources14GetProductNameEv     | "product-name"
0x00009868 | LSW1 Demo    | 0x0019d73c | pic_addis+addi  | __ZN12MacResources19GetShortProductNameE | "short-name"
0x000098c8 | LSW1 Demo    | 0x0019d6e0 | pic_addis+addi  | __ZN12MacResources17GetDataFolderNameEv  | "data-folder-name"
0x000099d8 | LSW1 Demo    | 0x0019d748 | pic_addis+addi  | __ZN12MacResources15GetLanguageCodeEv    | "language-code"
0x00009ad8 | LSW1 Demo    | 0x0019d768 | pic_addis+addi  | __ZN12MacResources19GetNoQuickTimeErrorE | "no-quicktime"
0x00009d18 | LSW1 Demo    | 0x0019d7a4 | pic_addis+addi  | __ZN12MacResources20GetQuitConfirmPrompt | "quit-confirm"
0x00038848 | LSW1 Demo    | 0x001a10f8 | pic_addis+addi  | __Z14CheckResetBitsv                     | "edi"
0x0003afc8 | LSW1 Demo    | 0x001a1180 | pic_addis+addi  | __Z7AddBoltP12GameObject_sP7nuvec_sP7num | "Hit"
0x0003b09c | LSW1 Demo    | 0x001a11d0 | pic_addis+addi  | __Z7AddBoltP12GameObject_sP7nuvec_sP7num | "ast"
0x0003b0ac | LSW1 Demo    | 0x001a11b8 | pic_addis+addi  | __Z7AddBoltP12GameObject_sP7nuvec_sP7num | "ast"
0x0003b0bc | LSW1 Demo    | 0x001a11d8 | pic_addis+addi  | __Z7AddBoltP12GameObject_sP7nuvec_sP7num | "ter"
0x0003b1b0 | LSW1 Demo    | 0x001a1208 | pic_addis+addi  | __Z7AddBoltP12GameObject_sP7nuvec_sP7num | "ast"
0x0003b1d0 | LSW1 Demo    | 0x001a1230 | pic_addis+addi  | __Z7AddBoltP12GameObject_sP7nuvec_sP7num | "ire"
0x00005968 | LSW2 PPC     | 0x00271153 | abs_lis+op40    | _AITriggerSetSysProcess                  | "ignore_path"
0x00008ad0 | LSW2 PPC     | 0x00290f34 | abs_lis+op32    | _ShootBolt                               | "Game Location"
0x0000ac6c | LSW2 PPC     | 0x00290101 | abs_lis+op35    | _ResetBombGenerators                     | "ttings"
0x0000c67c | LSW2 PPC     | 0x00290000 | abs_lis+op34    | _DrawBuildItPiece                        | "rail 2 particles per second"
0x0000c680 | LSW2 PPC     | 0x00290000 | abs_lis+op34    | _DrawBuildItPiece                        | "rail 2 particles per second"
0x0000c68c | LSW2 PPC     | 0x00290000 | abs_lis+op34    | _DrawBuildItPiece                        | "rail 2 particles per second"
0x00012fd4 | LSW2 PPC     | 0x00290040 | abs_lis+op35    | _MoveGameCamera                          | "mpact Part"
0x00014220 | LSW2 PPC     | 0x002889c2 | abs_lis+op34    | _MoveGameCamera                          | "boSaber1"
0x00014224 | LSW2 PPC     | 0x002889c2 | abs_lis+op34    | _MoveGameCamera                          | "boSaber1"
0x00014230 | LSW2 PPC     | 0x002889c2 | abs_lis+op34    | _MoveGameCamera                          | "boSaber1"
0x00015610 | LSW2 PPC     | 0x0029017f | abs_lis+op32    | __Z8LC_musicif                           | "ter Type..."
0x00018804 | LSW2 PPC     | 0x0026d76c | abs_lis+op14    | _LoadLevelConfigFile                     | "amera Speed"
0x00018cc0 | LSW2 PPC     | 0x0026d76c | abs_lis+op14    | _ConfigureArea                           | "amera Speed"
0x00018cc4 | LSW2 PPC     | 0x0026d76c | abs_lis+op14    | _ConfigureArea                           | "amera Speed"
0x0001d140 | LSW2 PPC     | 0x002951c8 | abs_lis+op14    | _ConfigureBlowUps                        | "t3 Reflection = -reflect(pinput.Incident, N);"
0x0001d178 | LSW2 PPC     | 0x0029519c | abs_lis+op14    | _ConfigureBlowUps                        | "alculate environment map contribution"
0x0001d17c | LSW2 PPC     | 0x0029519c | abs_lis+op14    | _ConfigureBlowUps                        | "alculate environment map contribution"
0x0001d288 | LSW2 PPC     | 0x00291078 | abs_lis+op32    | _ConfigureBlowUps                        | "ms drawn %d"
0x0002535c | LSW2 PPC     | 0x0026d794 | abs_lis+op14    | _MovePlayer                              | "c linker is notonal Cursor Spee present to run d"
0x00026ae8 | LSW2 PPC     | 0x0026d7b4 | abs_lis+op14    | _DrawCharacterObject                     | "present to run d"
0x000289f0 | LSW2 PPC     | 0x00290f78 | abs_lis+op32    | _NewPlayerCharacter                      | "umes/Development/Projects/Gemini/Gemini/Sources/Gemini/Development/gameapi/gameapi_static/../gui/gam"
0x00029808 | LSW2 PPC     | 0x00295174 | abs_lis+op14    | _ResetAICreatures                        | "erp(1.0f, embm.xyz, BumpPixel.w));"
0x0002bfcc | LSW2 PPC     | 0x00293c24 | abs_lis+op32    | _TerrainPlayer                           | "36MAP"
0x0002bff4 | LSW2 PPC     | 0x00293c24 | abs_lis+op32    | _TerrainPlayer                           | "36MAP"
0x000310e4 | LSW2 PPC     | 0x00272404 | abs_lis+op34    | _Customise_MenuDrawPanel                 | "white.dds"
0x000318ac | LSW2 PPC     | 0x00295194 | abs_lis+op14    | __Z11FindCutCharP11WORLDINFO_sPciPi      | ");"
0x000318b0 | LSW2 PPC     | 0x002951dc | abs_lis+op14    | __Z11FindCutCharP11WORLDINFO_sPciPi      | "lect(pinput.Incident, N);"
0x00032128 | LSW2 PPC     | 0x0026d8cc | abs_lis+op14    | __Z17CUT_DrawCharacterP17instNUGCUTSCENE | "bris.fxr"
0x0003212c | LSW2 PPC     | 0x0026d8cc | abs_lis+op14    | __Z17CUT_DrawCharacterP17instNUGCUTSCENE | "bris.fxr"
0x00035b50 | LSW2 PPC     | 0x00293a60 | abs_lis+op14    | _ResetExplosions                         | "Force4 Ti 4600"
0x00036e10 | LSW2 PPC     | 0x00289800 | abs_lis+op34    | _AddForcePickups                         | "blow"
0x00039134 | LSW2 PPC     | 0x0026d914 | abs_lis+op14    | _StackComplete                           | "edits"
0x0003f3ec | LSW2 PPC     | 0x00290208 | abs_lis+op32    | _UpdateForce                             | "le..."
0x0003f3f8 | LSW2 PPC     | 0x00290208 | abs_lis+op32    | _UpdateForce                             | "le..."
0x00040bb0 | LSW2 PPC     | 0x00290fb7 | abs_lis+op34    | _ResetForce                              | "ent/gameapi/gameapi_static/../gui/gamemenu/apisave.c"
0x00041a7c | LSW2 PPC     | 0x002904fc | abs_lis+op34    | __Z20CalculateBezierPointP7nuvec_sS0_S0_ | "e 1"
0x00045f30 | LSW2 PPC     | 0x0028c361 | abs_lis+op34    | _FindNearestGameObject                   | "aved Games"
0x00045f3c | LSW2 PPC     | 0x0028c361 | abs_lis+op34    | _FindNearestGameObject                   | "aved Games"
0x00050ed8 | LSW2 PPC     | 0x0028eccc | abs_lis+op32    | __Z11PartCollideP6PART_si                | "cp"
0x0005438c | LSW2 PPC     | 0x0026e41c | abs_lis+op14    | _InitGame                                | "al"
0x00054390 | LSW2 PPC     | 0x0026e41c | abs_lis+op14    | _InitGame                                | "al"
0x000550c8 | LSW2 PPC     | 0x0026e498 | abs_lis+op14    | _UpdateMiniSnowTroopers                  | "tc.fxr"
0x00056114 | LSW2 PPC     | 0x0026e544 | abs_lis+op14    | __Z29GameCreatureOpponentSelectionP7AISY | "bm_tc_binormal."
0x0005659c | LSW2 PPC     | 0x00271100 | abs_lis+op32    | __Z29GameCreatureOpponentSelectionP7AISY | "hec_y="
0x000565a0 | LSW2 PPC     | 0x00271100 | abs_lis+op32    | __Z29GameCreatureOpponentSelectionP7AISY | "hec_y="
0x0005ce18 | LSW2 PPC     | 0x0026e71c | abs_lis+op14    | __Z25Condition_ObstacleAtStartP7AISYS_sP | "fxr"
0x0005cfec | LSW2 PPC     | 0x00272404 | abs_lis+op34    | __Z19Condition_IsVisibleP7AISYS_sP17AISC | "white.dds"
0x0005cff0 | LSW2 PPC     | 0x0026e740 | abs_lis+op14    | __Z19Condition_IsVisibleP7AISYS_sP17AISC | "mbmno_offpath_telep_lit_binormal.fxort"
0x0005d030 | LSW2 PPC     | 0x0026e72c | abs_lis+op14    | __Z25Condition_ObstaclePlayingP7AISYS_sP | "jump"
0x0005e224 | LSW2 PPC     | 0x0027243b | abs_lis+op34    | __Z25Condition_LocatorOnScreenP7AISYS_sP | "ghter"
0x0005e9e0 | LSW2 PPC     | 0x00272500 | abs_lis+op32    | __Z23Condition_LastLevelInitP7AISYS_sPc  | "Devminikits/mini_atelopment/Projectte"
0x00060260 | LSW2 PPC     | 0x0026e454 | abs_lis+op14    | __Z29Condition_NearestPartyXZRangeP7AISY | "x_gen_embm_tc.fopen_doors"
0x00060264 | LSW2 PPC     | 0x0026e454 | abs_lis+op14    | __Z29Condition_NearestPartyXZRangeP7AISY | "x_gen_embm_tc.fopen_doors"
0x00062c84 | LSW2 PPC     | 0x0026e9f0 | abs_lis+op14    | __Z25Action_SelectRandomSplineP7AISYS_sP | "iewR RADIUS
L-STICKheight="
0x00062ef4 | LSW2 PPC     | 0x0026e4b8 | abs_lis+op14    | __Z15Action_SetSpeedP7AISYS_sP17AISCRIPT | "ire"
0x00062ef8 | LSW2 PPC     | 0x0026e4b8 | abs_lis+op14    | __Z15Action_SetSpeedP7AISYS_sP17AISCRIPT | "ire"
0x00063148 | LSW2 PPC     | 0x00270000 | abs_lis+op32    | __Z18Action_SetRunSpeedP7AISYS_sP17AISCR | "ut timebaseupdate%d="
0x00064bd0 | LSW2 PPC     | 0x0026ea5c | abs_lis+op14    | __Z18Action_CameraShakeP7AISYS_sP17AISCR | " L-UP=Lthingy_locator="
0x00064bf0 | LSW2 PPC     | 0x0026ea5c | abs_lis+op14    | __Z18Action_CameraShakeP7AISYS_sP17AISCR | " L-UP=Lthingy_locator="
