priority	family	start	end	bytes	functions	named	unnamed	unnamed_bytes	anchors	anchor_families	incoming_named	outgoing_named	note
HIGH	sdk/GX	0x8017CA2C	0x80182708	0x5CDC	117	22	95	0x3E90	__GXInitRevisionBits, GXInit, __GXInitGX, GXCPInterruptHandler, GXInitFifoBase, GXInitFifoPtrs, GXInitFifoLimits, GXSetCPUFifo, GXSetGPFifo, __GXFifoInit, GXSetMisc, __GXPEInit, GXInitTexCacheRegion, GXInitTlutRegion, GXInvalidateTexAll, GXSetTexRegionCallback	GX:21, runtime:1	GXCPInterruptHandler, GXInit, GXInitFifoBase, GXInitTexCacheRegion, GXSetCPUFifo, GXSetGPFifo, GXSetMisc, __GXInitGX, __GXInitRevisionBits, __GXSetSUTexRegs, __GXSetTmemConfig	GXInit, GXInitFifoPtrs, GXInitTexCacheRegion, GXInitTlutRegion, GXInvalidateTexAll, GXSetGPFifo, GXSetMisc, __GXInitGX, __GXInitRevisionBits, __GXSetIndirectMask, __GXSetSUTexRegs, __GXSetTmemConfig	dense GX anchor island
HIGH	sdk/GX	0x8017CA2C	0x8017CBD0	0x1A4	1	1	0	0x0	__GXInitRevisionBits	GX:1	__GXInitRevisionBits	__GXInitRevisionBits	anchor gap from __GXInitRevisionBits to GXInit
HIGH	sdk/GX	0x8017CBD0	0x8017D1D0	0x600	1	1	0	0x0	GXInit	GX:1	GXInit	GXInit, GXInitTlutRegion, __GXInitGX	anchor gap from GXInit to __GXInitGX
HIGH	sdk/GX	0x8017D1D0	0x8017DB08	0x938	1	1	0	0x0	__GXInitGX	GX:1	GXInit, __GXInitGX	__GXInitGX	anchor gap from __GXInitGX to GXCPInterruptHandler
HIGH	sdk/GX	0x8017DB08	0x8017DC3C	0x134	1	1	0	0x0	GXCPInterruptHandler	GX:1			anchor gap from GXCPInterruptHandler to GXInitFifoBase
HIGH	sdk/GX	0x8017DC3C	0x8017DCA8	0x6C	1	1	0	0x0	GXInitFifoBase	GX:1		GXInitFifoPtrs, GXSetGPFifo	anchor gap from GXInitFifoBase to GXInitFifoPtrs
HIGH	sdk/GX	0x8017DCA8	0x8017DD18	0x70	1	1	0	0x0	GXInitFifoPtrs	GX:1	GXInitFifoBase		anchor gap from GXInitFifoPtrs to GXInitFifoLimits
HIGH	sdk/GX	0x8017DD18	0x8017DD24	0xC	1	1	0	0x0	GXInitFifoLimits	GX:1			anchor gap from GXInitFifoLimits to GXSetCPUFifo
HIGH	sdk/GX	0x8017DD24	0x8017DE4C	0x128	1	1	0	0x0	GXSetCPUFifo	GX:1		GXSetGPFifo	anchor gap from GXSetCPUFifo to GXSetGPFifo
HIGH	sdk/GX	0x8017DE4C	0x8017E008	0x1BC	2	1	1	0x44	GXSetGPFifo	GX:1	GXInitFifoBase, GXSetCPUFifo, GXSetGPFifo		anchor gap from GXSetGPFifo to __GXFifoInit
HIGH	sdk/GX	0x8017E008	0x8017F5F4	0x15EC	23	1	22	0x15A0	__GXFifoInit	GX:1	GXCPInterruptHandler, GXSetCPUFifo, GXSetGPFifo	GXInit, GXSetMisc, __GXInitGX	anchor gap from __GXFifoInit to GXSetMisc
HIGH	sdk/GX	0x8017F5F4	0x8017FDB0	0x7BC	19	1	18	0x728	GXSetMisc	GX:1	GXSetMisc		anchor gap from GXSetMisc to __GXPEInit
HIGH	sdk/GX	0x8017FDB0	0x80181A34	0x1C84	46	1	45	0x1C10	__GXPEInit	GX:1	GXInit, __GXSetSUTexRegs		anchor gap from __GXPEInit to GXInitTexCacheRegion
HIGH	sdk/GX	0x80181A34	0x80181B28	0xF4	1	1	0	0x0	GXInitTexCacheRegion	GX:1	GXInitTexCacheRegion	GXInitTexCacheRegion, GXInitTlutRegion, GXInvalidateTexAll	anchor gap from GXInitTexCacheRegion to GXInitTlutRegion
HIGH	sdk/GX	0x80181B28	0x80181B60	0x38	1	1	0	0x0	GXInitTlutRegion	GX:1	GXInit, GXInitTexCacheRegion		anchor gap from GXInitTlutRegion to GXInvalidateTexAll
HIGH	sdk/GX	0x80181B60	0x80181BA8	0x48	1	1	0	0x0	GXInvalidateTexAll	GX:1	GXInitTexCacheRegion		anchor gap from GXInvalidateTexAll to GXSetTexRegionCallback
HIGH	sdk/GX	0x80181BA8	0x80181BBC	0x14	1	1	0	0x0	GXSetTexRegionCallback	GX:1			anchor gap from GXSetTexRegionCallback to GXSetTlutRegionCallback
HIGH	sdk/GX	0x80181C70	0x80181DEC	0x17C	1	1	0	0x0	__GXSetSUTexRegs	GX:1	__GXSetSUTexRegs	__GXSetSUTexRegs, __GXSetTmemConfig	anchor gap from __GXSetSUTexRegs to __GXSetTmemConfig
HIGH	sdk/GX	0x80181DEC	0x80182628	0x83C	9	1	8	0x4E8	__GXSetTmemConfig	GX:1	__GXSetSUTexRegs, __GXSetTmemConfig	__GXSetIndirectMask	anchor gap from __GXSetTmemConfig to __GXSetIndirectMask
HIGH	sdk/GX	0x80182628	0x80182658	0x30	1	1	0	0x0	__GXSetIndirectMask	GX:1			anchor gap from __GXSetIndirectMask to __GXFlushTextureState
HIGH	sdk/GX-or-video-tail	0x80182708	0x8018CB00	0xA3F4	122	0	122	0xA3F4			Action_SetNearestSpline, Action_SetRandomSpline, Action_SetVisibility, GXInit, GXInvalidateTexAll, Menu_FullReset, Menu_NavigateForward, Menu_Unknown4_HandleSelection, Player_UpdateState, __GXInitGX, __GXSetTmemConfig	GXInit, GXSetCPUFifo, GXSetGPFifo, MemZero, Menu_Unknown3_HandleSelection, __GXInitGX, __GXSetTmemConfig, __SetSURegs	post-GX tail, needs symbol order source
MEDIUM	runtime/PPC	0x8015BFC0	0x8015BFD8	0x18	3	3	0	0x0	PPCMfhid2, PPCMthid2, PPCMtwpar	PPC:3			confirmed PPC helpers
MEDIUM	sdk/PPC	0x8015BFC0	0x8015BFC8	0x8	1	1	0	0x0	PPCMfhid2	PPC:1			anchor gap from PPCMfhid2 to PPCMthid2
MEDIUM	sdk/PPC	0x8015BFC8	0x8015BFD0	0x8	1	1	0	0x0	PPCMthid2	PPC:1			anchor gap from PPCMthid2 to PPCMtwpar
MEDIUM	sdk/OS	0x8015CAA8	0x80161040	0x4598	95	2	93	0x44E8	OSRegisterVersion, OSRegisterResetFunction	OS:2	Condition_TurretAliveInit, MemZero, Menu_AddOption, OSRegisterResetFunction	Action_AddPart, Action_AttackButtonMash, Action_CreateSockCreatures, Action_JudderGameCamera, Action_OpenDoor, Action_SetDoorFinished, Action_SetFormationCommander, Action_SetRandomSpline, Action_SetTaggable, Condition_AngleFromPlayerToMe, Condition_ForceComplete, MemZero	OS anchors and reset registration
