index	symbol	source_file	line_no	raw
0	__start	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1	__start = .init:0x80003100; // type:function size:0x9C scope:global
1	__init_hardware	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	8	__init_hardware = .init:0x8000326C; // type:function size:0x20 scope:global
2	malloc_x	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1517	malloc_x = .text:0x800BE71C; // type:function size:0x2C scope:global
3	free_x	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1518	free_x = .text:0x800BE748; // type:function size:0x2C scope:global
4	VIPostCallback	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1741	VIPostCallback = .text:0x800C7C20; // type:function size:0x40 scope:global
5	__DEMOInitRenderMode	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1743	__DEMOInitRenderMode = .text:0x800C7CE0; // type:function size:0x144 scope:local
6	__DEMOInitMem	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1744	__DEMOInitMem = .text:0x800C7E24; // type:function size:0xC4 scope:local
7	__DEMOInitGX	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1745	__DEMOInitGX = .text:0x800C7EE8; // type:function size:0x134 scope:local
8	__DEMOInitVI	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1746	__DEMOInitVI = .text:0x800C801C; // type:function size:0x38 scope:local
9	__NoHangDoneRender	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1752	__NoHangDoneRender = .text:0x800C8200; // type:function size:0xA0 scope:local
10	__DEMODiagnoseHang	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1754	__DEMODiagnoseHang = .text:0x800C8358; // type:function size:0x1B8 scope:local
11	__AM_dvd_callback	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1839	__AM_dvd_callback = .text:0x800CC328; // type:function size:0xB4 scope:local
12	__AM_arq_callback	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1840	__AM_arq_callback = .text:0x800CC3DC; // type:function size:0xD0 scope:local
13	__AM_arq_poll_callback	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1841	__AM_arq_poll_callback = .text:0x800CC4AC; // type:function size:0x54 scope:local
14	__AMPushBuffered	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1845	__AMPushBuffered = .text:0x800CC830; // type:function size:0x280 scope:global
15	__DTKStartAi	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1850	__DTKStartAi = .text:0x800CCB8C; // type:function size:0x40 scope:local
16	__DTKStopAi	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1851	__DTKStopAi = .text:0x800CCBCC; // type:function size:0x34 scope:local
17	__DTKCheckUserCallback	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1852	__DTKCheckUserCallback = .text:0x800CCC00; // type:function size:0x44 scope:local
18	__DTKCallbackForStreamStatus	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	1853	__DTKCallbackForStreamStatus = .text:0x800CCC44; // type:function size:0x1C scope:local
