build_a	build_b	arch_a	arch_b	same_arch	method	score	matched	total	notes
gc_us_retail	gc_uk_retail	ppc	ppc	yes	string_jaccard	0.9834	4633	4711	
gc_us_retail	gc_uk_retail	ppc	ppc	yes	key_string_jaccard	0.9953	427	429	
gc_us_retail	gc_uk_retail	ppc	ppc	yes	positional_byte	0.2590	540186	2085664	vs min(2085664,2085792)
gc_us_retail	gc_uk_retail	ppc	ppc	yes	chunk_hash	0.0000	0	1018	4KB chunks
gc_us_retail	ps2_prototype	ppc	mips	no	string_jaccard	0.4622	2760	5972	
gc_us_retail	ps2_prototype	ppc	mips	no	key_string_jaccard	0.3149	199	632	
gc_us_retail	ps2_eu_demo	ppc	mips	no	string_jaccard	0.5821	3465	5953	
gc_us_retail	ps2_eu_demo	ppc	mips	no	key_string_jaccard	0.3569	227	636	
gc_us_retail	ps2_eu_retail_v1	ppc	mips	no	string_jaccard	0.5794	3448	5951	
gc_us_retail	ps2_eu_retail_v1	ppc	mips	no	key_string_jaccard	0.3569	227	636	
gc_us_retail	ps2_us_retail_v1	ppc	mips	no	string_jaccard	0.5807	3458	5955	
gc_us_retail	ps2_us_retail_v1	ppc	mips	no	key_string_jaccard	0.3569	227	636	
gc_us_retail	ps2_us_retail_gh	ppc	mips	no	string_jaccard	0.5830	3473	5957	
gc_us_retail	ps2_us_retail_gh	ppc	mips	no	key_string_jaccard	0.3574	228	638	
gc_us_retail	xbox_retail	ppc	x86	no	string_jaccard	0.5231	2897	5538	
gc_us_retail	xbox_retail	ppc	x86	no	key_string_jaccard	0.2229	109	489	
gc_us_retail	xbox_demo_oxm045	ppc	x86	no	string_jaccard	0.5139	2842	5530	
gc_us_retail	xbox_demo_oxm045	ppc	x86	no	key_string_jaccard	0.2202	107	486	
gc_us_retail	pc_us_demo	ppc	x86	no	string_jaccard	0.1572	2363	15032	
gc_us_retail	pc_us_demo	ppc	x86	no	key_string_jaccard	0.1084	160	1476	
gc_us_retail	pc_us_retail	ppc	x86	no	string_jaccard	0.1959	3085	15746	
gc_us_retail	pc_us_retail	ppc	x86	no	key_string_jaccard	0.1242	185	1489	
gc_us_retail	mac_demo_dbg	ppc	ppc	yes	string_jaccard	0.1588	2583	16266	
gc_us_retail	mac_demo_dbg	ppc	ppc	yes	key_string_jaccard	0.0594	161	2712	
gc_us_retail	mac_demo_dbg	ppc	ppc	yes	positional_byte	0.1230	256605	2085664	vs min(2085664,15240796)
gc_us_retail	mac_demo_dbg	ppc	ppc	yes	chunk_hash	0.0000	0	1566	4KB chunks
gc_uk_retail	ps2_prototype	ppc	mips	no	string_jaccard	0.4631	2757	5953	
gc_uk_retail	ps2_prototype	ppc	mips	no	key_string_jaccard	0.3149	199	632	
gc_uk_retail	ps2_eu_demo	ppc	mips	no	string_jaccard	0.5837	3463	5933	
gc_uk_retail	ps2_eu_demo	ppc	mips	no	key_string_jaccard	0.3569	227	636	
gc_uk_retail	ps2_eu_retail_v1	ppc	mips	no	string_jaccard	0.5810	3446	5931	
gc_uk_retail	ps2_eu_retail_v1	ppc	mips	no	key_string_jaccard	0.3569	227	636	
gc_uk_retail	ps2_us_retail_v1	ppc	mips	no	string_jaccard	0.5818	3454	5937	
gc_uk_retail	ps2_us_retail_v1	ppc	mips	no	key_string_jaccard	0.3569	227	636	
gc_uk_retail	ps2_us_retail_gh	ppc	mips	no	string_jaccard	0.5841	3469	5939	
gc_uk_retail	ps2_us_retail_gh	ppc	mips	no	key_string_jaccard	0.3574	228	638	
gc_uk_retail	xbox_retail	ppc	x86	no	string_jaccard	0.5244	2894	5519	
gc_uk_retail	xbox_retail	ppc	x86	no	key_string_jaccard	0.2229	109	489	
gc_uk_retail	xbox_demo_oxm045	ppc	x86	no	string_jaccard	0.5149	2838	5512	
gc_uk_retail	xbox_demo_oxm045	ppc	x86	no	key_string_jaccard	0.2202	107	486	
gc_uk_retail	pc_us_demo	ppc	x86	no	string_jaccard	0.1572	2360	15013	
gc_uk_retail	pc_us_demo	ppc	x86	no	key_string_jaccard	0.1084	160	1476	
gc_uk_retail	pc_us_retail	ppc	x86	no	string_jaccard	0.1960	3083	15726	
gc_uk_retail	pc_us_retail	ppc	x86	no	key_string_jaccard	0.1242	185	1489	
gc_uk_retail	mac_demo_dbg	ppc	ppc	yes	string_jaccard	0.1589	2582	16245	
gc_uk_retail	mac_demo_dbg	ppc	ppc	yes	key_string_jaccard	0.0594	161	2712	
gc_uk_retail	mac_demo_dbg	ppc	ppc	yes	positional_byte	0.1237	258082	2085792	vs min(2085792,15240796)
gc_uk_retail	mac_demo_dbg	ppc	ppc	yes	chunk_hash	0.0000	0	1566	4KB chunks
ps2_prototype	ps2_eu_demo	mips	mips	yes	string_jaccard	0.7093	3645	5139	
ps2_prototype	ps2_eu_demo	mips	mips	yes	key_string_jaccard	0.6084	317	521	
ps2_prototype	ps2_eu_demo	mips	mips	yes	positional_byte	0.1921	565074	2941736	vs min(2941736,3173684)
ps2_prototype	ps2_eu_demo	mips	mips	yes	chunk_hash	0.0016	2	1287	4KB chunks
ps2_prototype	ps2_eu_retail_v1	mips	mips	yes	string_jaccard	0.7689	3810	4955	
ps2_prototype	ps2_eu_retail_v1	mips	mips	yes	key_string_jaccard	0.8789	392	446	
ps2_prototype	ps2_eu_retail_v1	mips	mips	yes	positional_byte	0.1930	567779	2941736	vs min(2941736,3170488)
ps2_prototype	ps2_eu_retail_v1	mips	mips	yes	chunk_hash	0.0016	2	1288	4KB chunks
