# queue_to_batch.py --min-conf LOW (297 renames)


# === HIGH ===
fn_80024520 NuGlassRenderStatic  # mac [gcnemo NuGlassClose..NuGobjInit]

# === MEDIUM ===
fn_8000C9AC NuVecRotateAxis  # mac [gcnemo NuVecRotateZ..NuVecScale]
fn_80023F80 NuCameraClipTestBoundingSphere  # mac [crashwoc_retail NuCameraTransformClip..NuCameraDistSqr]
fn_80024398 NuGlassInit  # mac [crashwoc_retail NuGlassLoad..NuGlassClose]
fn_8003F02C NuGCutSceneSysUpdate  # mac [gcnemo NuGCutSceneSysInit..NuGCutSceneSysRender]
fn_8003F27C instNuGCutSceneCreate  # mac [crashwoc_retail NuGCutSceneFixUp..instNuGCutSceneDestroy]

# === LOW ===
fn_8000584C NuMemFileAddr  # mac [mac_lsw2_ppc NuDatFileOpenSize..NuFileReadShort]
fn_80006B14 NuWaterReset  # mac [gcnemo NuWaterRender..NuVpInit]
fn_80006DD4 NuVpSetSize  # mac [crashwoc_retail NuVpInit..NuMemAlloc]
fn_80006E04 NuVpUpdate  # mac [crashwoc_retail NuVpInit..NuMemAlloc]
fn_80006E1C NuVpGetClippingMtx  # mac [crashwoc_retail NuVpInit..NuMemAlloc]
fn_80006ED0 NuVpGetScalingMtx  # mac [crashwoc_retail NuVpInit..NuMemAlloc]
fn_80006F44 NuVpSetClippingMtx  # mac [crashwoc_retail NuVpInit..NuMemAlloc]
fn_80007648 NuTexAnimProcessList  # mac [mac_lsw2_ppc NuTexAnimProgAssembleEnd..NuStrCat]
fn_800076CC NuTexAnimSetMask  # mac [mac_lsw2_ppc NuTexAnimProgAssembleEnd..NuStrCat]
fn_800077E8 NuTexAnimCreate  # mac [mac_lsw2_ppc NuTexAnimProgAssembleEnd..NuStrCat]
fn_800092F0 NuLightSetStoredLights  # mac [gcnemo NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009324 NuLightClearStoredLights  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009408 NuLightFog  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_800094C4 NuLightAddSpotXSpanFade  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009564 NuLightMatInit  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_8000965C NuLightFogG  # mac [gcnemo NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009748 NuLgtArcLaser  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009858 NuLgtArcLaserDraw  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009948 NuLgtSetArcMat  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_8000995C NuMtlCreateDefault  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009970 NuLgtRand  # mac [gcnemo NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009984 NuMtlClose  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009998 NuMtlCreate  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_800099A0 NuLgtSetArcMat  # mac [gcnemo NuLightStoreCurrentLights..NuRndrTri3d]
fn_800099D4 NuRndrSetAmbientLight  # mac [gcnemo NuLightStoreCurrentLights..NuRndrTri3d]
fn_800099F8 NuMtlGet  # mac [crashwoc_retail NuLightStoreCurrentLights..NuRndrTri3d]
fn_80009C00 NuRndrStrip3d  # mac [crashwoc_retail NuRndrTri3d..NuTexCreate]
fn_80009D40 NuHGobjRndr  # mac [crashwoc_retail NuRndrTri3d..NuTexCreate]
fn_80009E94 NuHGobjEvalAnim2  # mac [crashwoc_retail NuRndrTri3d..NuTexCreate]
fn_8000A268 NuRndrItemDist  # mac [crashwoc_retail NuRndrTri3d..NuTexCreate]
fn_8000A3D0 NuRndrQuad3d  # mac [gcnemo NuRndrTri3d..NuTexCreate]
fn_8000A40C NuRndr2dItem  # mac [crashwoc_retail NuRndrTri3d..NuTexCreate]
fn_8000A500 NuClearRect2di  # mac [gcnemo NuRndrTri3d..NuTexCreate]
fn_8000A604 NuTexCreateFromDDS  # mac [mac_lsw1_demo NuTexCreate..NuAngAdd]
